pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
94.1,16810.0,-71.5,-90.5,245.0,46.0,41.690158203685904,19.44044004007216,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
93.0,16879.0,-71.2,-90.5,250.0,48.0,45.105245797723605,16.416966879632092,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
91.0,17007.0,-70.8,-90.5,260.0,43.0,42.34673337952494,7.466871639678004,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
89.9,17079.0,-70.5,-90.5,258.0,39.0,38.147756428618415,8.108555941892632,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
88.0,17205.0,-70.8,-91.0,255.0,31.0,29.943700614961116,8.02339039817814,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
83.0,17550.0,-71.7,-92.5,235.0,43.0,35.223537904426635,24.663786763094993,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
81.1,17687.0,-72.1,-93.1,238.0,46.0,39.0102124231956,24.37628615472743,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
80.0,17767.0,-72.0,-93.4,240.0,47.0,40.7031939778686,23.50000000000002,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
78.1,17909.0,-71.9,-93.9,231.0,45.0,34.971568265563675,28.3194175972427,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
78.0,17916.0,-71.9,-93.9,230.0,45.0,34.471999940354,28.925442435894276,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
77.0,17992.0,-72.1,-94.2,225.0,47.0,33.23401871576773,33.23401871576774,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
75.0,18146.0,-72.5,-94.9,230.0,47.0,36.00408882659196,30.211017655267355,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
70.0,18550.0,-73.5,-96.5,260.0,46.0,45.30115663856157,7.987816172678795,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
69.0,18634.0,-73.6,-96.6,260.0,45.0,44.31634888554936,7.814167995011865,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
68.0,18719.0,-73.7,-96.7,255.0,39.0,37.671107225273666,10.093942758998304,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
67.6,18754.0,-73.7,-96.7,253.0,38.0,36.339580726595344,11.11012477946401,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
